test_id,domain,status,score,confidence,criticality,release_gate,evidence
T001,Security Engineering,Pass,4,High,Critical,Yes,"AGENT-PROTOCOL.md; SECURITY.md; tests and review artifacts"
T002,Security Engineering,Weak,2,Low,High,Yes,"Issue-first workflow exists; security requirements are not consistently linked to work items"
T003,Security Engineering,Partial,3,Medium,High,No,"quality-gates.yml and SAST worktree; required remote checks absent"
T004,Security Engineering,Pass,4,High,Medium,No,"SECURITY.md defines local-harness threat model"
T006,Security Engineering,Pass,4,High,High,No,"SECURITY.md and command/tool boundary tests"
T007,Security Engineering,Partial,3,Medium,High,Yes,"2026-07-28 evaluation current; no formal per-release threat review gate"
T008,Security Engineering,Pass,4,Medium,Medium,No,"Architecture/review artifacts and Council process"
T010,Security Engineering,Partial,3,Medium,High,Yes,"CodeQL/PSSA/ESLint implemented locally; workflow untracked and not remotely run"
T011,Security Engineering,Weak,2,Medium,High,Yes,"Local ratchets block regressions; branch has no required SAST status check"
T014,Security Engineering,Pass,5,High,High,Yes,"GitHub secret scanning enabled"
T015,Security Engineering,Pass,4,High,High,No,"GitHub push protection enabled; validity/non-provider checks disabled"
T019,Security Engineering,Fail,0,Medium,High,Yes,"No fuzz/property-based tests for command/path/URL parsers"
T020,Security Engineering,Pass,4,High,Medium,No,"45 command guardrail/redaction tests including adversarial proof strings"
T021,Security Engineering,Weak,2,Medium,Critical,No,"Dependency findings visible; no vulnerability remediation SLA"
T022,Security Engineering,Weak,2,Medium,High,Yes,"Known limitations documented; no time-bound exception register"
T023,Security Engineering,Partial,3,Medium,High,Yes,"One PR approval required; admins not enforced; no required status checks"
T024,Security Engineering,Pass,4,High,Medium,No,"Branch protection requires one approving review"
T026,Supply Chain and Release,Fail,0,High,Critical,Yes,"No SBOM for public VSIX/MCP packages"
T027,Supply Chain and Release,Fail,0,High,High,Yes,"No SBOM direct dependency inventory"
T028,Supply Chain and Release,Fail,0,High,High,No,"No SBOM transitive dependency inventory"
T029,Supply Chain and Release,Pass,4,High,Medium,No,"Dependency workflow and local npm audits; remote dependency runs red"
T030,Supply Chain and Release,Fail,0,High,Critical,Yes,"No dependency license scan"
T031,Supply Chain and Release,Partial,3,Medium,High,No,"Dependabot security updates enabled; worktree Dependabot config untracked"
T032,Supply Chain and Release,Pass,5,High,High,Yes,"Lock files present for extension, MCP server, and companions"
T033,Supply Chain and Release,Weak,2,Low,Medium,No,"No approved registry/source allowlist"
T034,Supply Chain and Release,Fail,0,High,Critical,No,"No build provenance/attestation"
T035,Supply Chain and Release,Fail,0,High,High,Yes,"No provenance verification before Marketplace publish"
T036,Supply Chain and Release,Pass,4,High,High,Yes,"GitHub-hosted isolated runners and SHA-pinned actions"
T037,Supply Chain and Release,Weak,2,Medium,Medium,No,"npm ci improves reproducibility; build is not hermetic"
T038,Supply Chain and Release,Fail,0,High,Critical,Yes,"VSIX/package artifacts are not signed/attested by AgentX"
T039,Supply Chain and Release,Fail,0,High,High,Yes,"No signature enforcement before publish/install"
T043,Supply Chain and Release,Pass,4,High,High,No,"Marketplace PAT isolated in GitHub secret; least-privilege workflow permissions"
T044,Supply Chain and Release,Partial,3,Medium,High,Yes,"Release workflow exists; required checks/admin enforcement absent"
T046,Supply Chain and Release,Weak,2,Medium,Critical,No,"Marketplace supports forward fixes; rollback mechanism not tested"
T047,Supply Chain and Release,Pass,4,High,High,Yes,"Explicit workflow permissions; publish workflow contents:read"
T048,Supply Chain and Release,Weak,2,Low,High,Yes,"Dependency audit exists; no formal OSS component approval record"
T049,Supply Chain and Release,Weak,2,Medium,Medium,No,"CHANGELOG exists; security impact is not a required release section"
T050,Supply Chain and Release,Weak,2,Medium,Critical,Yes,"No documented emergency release procedure"
T091,Well-Architected Operations,Pass,5,High,Critical,Yes,"SECURITY.md and re-scoped evaluation define local harness boundary"
T092,Well-Architected Operations,Pass,4,High,High,Yes,"README/AGENTS define outcomes; user KPIs are not measured"
T093,Well-Architected Operations,Partial,3,Medium,High,No,"Workflow/pipeline registries map core flows; no measured user journey telemetry"
T094,Well-Architected Operations,Partial,3,Medium,Medium,No,"Routing/pipeline registries and architecture docs; no generated dependency graph"
T095,Well-Architected Operations,Partial,3,Medium,Critical,Yes,"Coverage and loop gates defined; no extension latency/reliability target"
T104,Well-Architected Operations,Fail,0,Medium,High,Yes,"No performance/load test for extension activation or commands"
T105,Well-Architected Operations,Fail,0,Medium,High,No,"No performance regression threshold"
T111,Well-Architected Operations,Partial,3,High,Critical,No,"SECURITY.md reporting path; no incident-response runbook"
T115,Well-Architected Operations,Partial,3,Medium,Critical,Yes,"Loop/evidence events exist; no complete model/tool trace"
T116,Well-Architected Operations,Weak,2,Medium,High,Yes,"Execution summaries correlate some events; no end-to-end run ID across dependencies"
T117,Well-Architected Operations,Pass,4,High,High,No,"GUIDE troubleshooting and behavior tests"
T118,Well-Architected Operations,Pass,4,High,Medium,No,"Review, Tester, coverage, scrub, and release gates"
T125,Well-Architected Operations,Partial,3,Medium,High,Yes,"Learnings/capture processes exist; no formal incident PIR trigger"
T129,Application Security,Pass,4,High,Medium,No,"Command/path/SSRF validation tests; path/SSRF controls dormant at boundaries"
T131,Application Security,Pass,5,High,High,No,"Command-injection and destructive-command test coverage"
T133,Application Security,Pass,5,High,Medium,No,"Extensive SSRF validator tests including metadata/private addresses"
T138,Application Security,Pass,5,High,Critical,Yes,"Secret redaction wired to shell error paths and tested"
T144,Application Security,Partial,3,Medium,High,Yes,"SECURITY.md classifies local-harness data/risk scope"
T145,Application Security,Pass,4,High,Medium,No,"Secret redactor tests; not applied to every log/output boundary"
T146,Application Security,Partial,3,Medium,Critical,No,"Config validation and policy files; no single secure configuration baseline"
T148,Application Security,Partial,3,Medium,High,Yes,"30-day state retention implemented; not all memory/log data has explicit retention"
T149,Application Security,Partial,3,Medium,Medium,No,"Loop history and evidence capture high-impact workflow actions"
T150,Application Security,Weak,2,Low,Critical,Yes,"Local evidence is mutable; git history improves but does not ensure non-repudiation"
T154,Application Security,Weak,2,Medium,Critical,Yes,"Published plugin URL requires HTTPS/checksum; generic downloadFile lacks SSRF/redirect validation"
T155,Application Security,Pass,4,High,High,No,"Secret/token masking implemented; full PII scope is not applicable"
T156,AI and Agent Governance,Pass,4,High,Critical,Yes,"24 agents, 128 skills, models/tools are inventoryable from source"
T157,AI and Agent Governance,Pass,5,High,High,Yes,"13 visible + 11 internal agents explicitly defined"
T158,AI and Agent Governance,Partial,3,Medium,High,No,"Model frontmatter and provider config; no runtime model usage inventory"
T159,AI and Agent Governance,Pass,4,High,Medium,No,"Versioned prompts and prompt-engineering assets"
T160,AI and Agent Governance,Pass,4,High,Critical,Yes,"Agent tool lists, MCP catalog, command policy; no generated consolidated registry"
T161,AI and Agent Governance,Pass,4,High,High,No,"MCP stdio server with explicit tool catalog"
T163,AI and Agent Governance,Pass,5,High,Medium,No,"Every agent has an explicit identity/name"
T164,AI and Agent Governance,Partial,3,Medium,Critical,No,"Agent path/tool scopes exist; many agents still have broad tools and denylist shell enforcement"
T165,AI and Agent Governance,Pass,4,High,High,Yes,"State/status/checkpoints/loop lifecycle persisted"
T166,AI and Agent Governance,Weak,2,Low,High,Yes,"Role ownership is explicit; accountable human/component owners are generally absent"
T167,AI and Agent Governance,Pass,5,High,Medium,No,"Each agent definition states business purpose"
T168,AI and Agent Governance,Pass,4,High,Critical,Yes,"Allowed/forbidden paths and role boundaries documented"
T169,AI and Agent Governance,Partial,3,Medium,High,Yes,"SECURITY.md threat model; no structured per-agent risk assessment"
T171,AI and Agent Governance,Pass,5,High,Medium,No,"README, AGENTS, SECURITY, quality score, and known limitations"
T172,AI and Agent Governance,Pass,4,High,Critical,Yes,"Human review and confirmation policies exist; shell unknown-command confirmation is absent"
T173,AI and Agent Governance,Pass,4,High,High,No,"PR review, loop evidence, and approval artifacts"
T174,AI and Agent Governance,Partial,3,High,High,Yes,"Self-review gate works; repo evaluation threshold is not enforced"
T175,AI and Agent Governance,Weak,2,High,Medium,No,"0.80 threshold declared but sample runner exits 0 at 0.47"
T176,AI and Agent Governance,Weak,2,Medium,Critical,No,"No live-router groundedness/code factuality evaluation"
T177,AI and Agent Governance,Weak,1,Low,High,Yes,"No hallucinated-code/command evaluation against live models"
T178,AI and Agent Governance,Weak,2,Medium,High,Yes,"Review rubrics exist; no reproducible factuality run on live agent output"
T179,AI and Agent Governance,Weak,2,Medium,Medium,No,"Completeness rubric exists as target only"
T182,AI and Agent Governance,Partial,3,High,High,No,"Command adversarial tests cover tool output; indirect repository prompt injection is not evaluated end-to-end"
T183,AI and Agent Governance,Weak,1,Low,Medium,No,"No cross-agent/cross-prompt injection evaluation"
T184,AI and Agent Governance,Pass,4,High,Critical,Yes,"Secret disclosure tests and redaction; not all output paths are covered"
T186,AI and Agent Governance,Pass,4,High,High,Yes,"Tool-abuse/destructive-command tests and command guard"
T187,AI and Agent Governance,Partial,3,Medium,Medium,No,"Loop bounds and tool policies reduce agency; unknown commands still execute without confirmation"
T194,AI and Agent Governance,Pass,4,High,High,No,"Fast/balanced/reasoning policy and provider fallback"
T196,AI and Agent Governance,Pass,4,High,Critical,Yes,"Fallback chain implemented and behavior-tested"
T197,AI and Agent Governance,Partial,3,Medium,High,No,"Agent model frontmatter is advisory; provider/model versions are not uniformly pinned"
T199,AI and Agent Governance,Pass,5,High,Medium,No,"Quality and runner loops have deterministic maxima"
T200,AI and Agent Governance,Pass,5,High,Critical,No,"Retry/self-review/clarification limits are bounded"
