test_id,baseline_score,local_score,projected_remote_score,local_status,evidence
T003,3,4,5,Pass,"Local SAST/evaluation/release policy gates pass; remote workflow success pending"
T010,3,4,5,Pass,"PSScriptAnalyzer and ESLint ratchets pass locally; CodeQL configured"
T011,2,3,5,Partial,"Ratchets fail closed locally; remote SAST and required check pending"
T019,0,2,2,Weak,"Deterministic mixed-DNS, junction, redirect, and negative classifier tests; no fuzz/property engine"
T023,3,3,4,Partial,"One review required; required checks/admin enforcement pending"
T026,0,3,5,Partial,"CycloneDX configured against unpacked final VSIX/MCP artifacts; remote generation pending"
T027,0,3,5,Partial,"Final-artifact CycloneDX direct inventory configured; no generated release SBOM yet"
T028,0,3,5,Partial,"Final-artifact CycloneDX transitive inventory configured; no generated release SBOM yet"
T033,2,3,3,Partial,"All four lockfiles use registry.npmjs.org; no organization-wide source allowlist"
T034,0,3,5,Partial,"VSIX and MCP provenance attestations configured; remote execution pending"
T035,0,3,5,Partial,"Marketplace verifies downloaded release VSIX provenance; remote execution pending"
T038,0,3,5,Partial,"Sigstore-backed GitHub attestations configured for both final artifacts"
T039,0,3,5,Partial,"Marketplace blocks publish unless exact downloaded VSIX verifies"
T044,3,3,5,Partial,"Release workflow locally validated; remote success and required enforcement pending"
T129,4,5,5,Pass,"Canonical plugin containment and pinned all-address download validation are wired and tested"
T150,2,3,4,Partial,"Git history plus configured artifact attestations; remote attestation pending"
T154,2,5,5,Pass,"Initial and redirect requests fail closed, validate all DNS answers, and pin approved lookup"
T174,3,4,5,Pass,"Production classifier evaluator is automated and behavior-tested; remote enforcement pending"
T175,2,5,5,Pass,"Blocking 0.80 thresholds proven on passing and failing production-classifier datasets"
