agent,scope,loop,model_routing,context,memory,evaluation,orchestration,governance,proliferation_risk,context_bloat_risk,missing_eval_risk,missing_routing_risk,missing_memory_risk,cost_risk,trace_risk,skills_to_tools_risk,multiple_agents_risk,approval_to_eval_risk,risk_total,confidence,disposition,rationale
AgentX Auto,visible,3,3,3,3,2,4,2,2,3,3,1,2,0,3,2,2,2,18,Low,Modernize,"Default front door; improve eval enforcement and governance evidence"
AgentX Agile Coach,visible,3,2,3,2,2,3,3,1,2,3,2,3,0,3,1,1,2,18,Low,Optional pack,"Distinct outcome but outside default coding implementation loop"
AgentX Architect,visible,3,3,2,2,2,3,3,1,5,3,2,3,0,3,1,1,2,21,Low,Modernize,"Retain permission boundary; reduce 7681-token contract"
AgentX Consulting Research,visible,3,2,3,2,2,3,3,1,3,3,2,3,0,3,1,1,2,19,Low,Optional pack,"Distinct sourced research outcome outside default coding loop"
AgentX Data Scientist,visible,3,3,2,3,2,3,3,1,4,3,2,2,0,3,2,2,2,21,Low,Modernize,"Retain AI implementation boundary; reduce prompt and enforce evals"
AgentX DevOps Engineer,visible,3,2,3,2,2,3,3,1,2,3,2,3,0,3,2,1,2,19,Low,Retain,"Distinct pipeline/release permissions"
AgentX Engineer,visible,3,3,2,3,2,3,3,1,5,3,2,2,0,3,2,1,2,21,Low,Modernize,"Core executor; reduce 8764-token contract"
AgentX Power BI Analyst,visible,3,2,3,2,2,3,3,1,2,3,2,3,0,3,2,1,2,19,Low,Optional pack,"Distinct domain artifacts but not core coding harness"
AgentX Product Manager,visible,3,2,2,2,2,3,3,1,4,3,2,3,0,3,1,1,2,20,Low,Modernize,"Retain PRD boundary; reduce prompt footprint"
AgentX Auto-Fix Reviewer,visible,3,3,3,2,2,3,3,2,2,2,2,3,0,3,1,3,2,20,Low,Retain separate profile,"Source-write permission differs from read-only Reviewer"
AgentX Reviewer,visible,3,3,2,2,3,3,3,2,4,2,2,3,0,3,1,3,1,21,Low,Modernize,"Retain read-only review boundary; reduce prompt footprint"
AgentX Tester,visible,3,2,3,2,3,3,3,1,2,2,2,3,0,3,1,1,2,17,Low,Retain,"Distinct certification and test ownership"
AgentX UX Designer,visible,3,2,3,2,3,3,3,1,2,2,2,3,0,3,1,1,2,17,Low,Retain,"Distinct browser/prototype/accessibility outcome"
AgentX ADO Ops,internal,3,2,2,2,2,3,3,2,3,3,2,3,0,3,2,3,2,23,Low,Modernize,"Retain mutating provider boundary; reduce prompt footprint"
AgentX ADO PRD to Work Items,internal,3,2,3,2,2,3,3,2,2,3,2,3,0,3,1,3,2,21,Low,Retain separate profile,"Read-only planning boundary differs from mutating ADO Ops"
AgentX Architecture Reviewer,internal,3,3,2,2,3,3,3,2,5,2,2,3,0,3,1,3,1,22,Low,Modernize,"Retain isolated critic; reduce 5859-token contract"
AgentX Diagram Specialist,internal,3,2,3,2,2,3,3,2,2,3,2,3,0,3,3,3,2,23,Low,Retain constrained profile,"Distinct artifact ownership; share domain knowledge through diagram skill"
AgentX Eval Specialist,internal,3,3,3,2,2,3,3,2,2,4,2,3,0,3,2,2,2,20,Low,Modernize,"Make threshold enforcement and live-router evaluation its explicit outcome"
AgentX Functional Reviewer,internal,3,3,3,2,3,3,3,2,2,2,2,3,0,3,1,3,1,19,Low,Retain isolated evaluator,"Context isolation improves reviewer independence"
AgentX GitHub Ops,internal,3,2,3,2,2,3,3,2,2,3,2,3,0,3,2,2,2,21,Low,Retain,"Provider-specific mutation permissions"
AgentX Ops Monitor,internal,3,2,3,3,2,3,3,2,2,3,2,2,0,4,3,2,2,22,Low,Retain constrained profile,"Distinct operational write scope; reuse observability/drift skills"
AgentX Prompt Engineer,internal,3,3,3,2,2,3,3,2,2,3,2,3,0,3,3,2,2,22,Low,Retain constrained profile,"Distinct prompt-version write scope; reuse prompt skills"
AgentX Prototype Auditor,internal,4,2,3,2,4,3,3,1,2,1,2,3,0,2,2,1,1,15,Low,Retain,"Mechanically distinct live-browser evaluator"
AgentX RAG Specialist,internal,3,3,3,3,2,3,3,2,2,3,2,2,0,3,3,2,2,21,Low,Retain constrained profile,"Distinct RAG code/test scope; reuse RAG skill knowledge"
